Цена USD,Комнаты,Площадь м²,Этаж,Всего этажей,Адрес
350,1,33,2,9,Минск Ложинская ул. 19
381,1,34,3,9,Минск Гаруна ул. 25
360,1,37,6,9,Минск Некрасова ул. 35 2
350,1,37.2,2,10,Минск Старовиленская ул. 97
350,2,50,1,5,Минск Волгоградская ул. 41 1
370,1,37,7,9,Минск Слободская ул. 75
380,2,39.82,3,9,Минск Восточная ул. 52
350,1,34,3,9,Минск Логойский тракт 28 1
370,2,50,8,12,Минск Сухаревская ул. 21 1
380,1,36,6,9,Минск Якубовского ул. 38
380,1,26,19,23,Минск Игоря Лученка ул. 13
363,1,35,5,10,Минск Плеханова ул. 85
380,1,34,7,9,Минск Маяковского ул. 168 А
350,2,45,4,5,Минск Чкалова ул. 35
350,1,40,5,9,Минск Каменногорская ул. 96
350,2,41.66,5,5,Минск Гамарника ул. 25
363,1,40,3,9,Минск Сухаревская ул. 62
360,1,45,1,9,Минск 50 лет Победы ул. 17
380,1,45,7,10,Минск Алибегова ул. 14
355,2,47,4,8,Минск Лобанка ул. 89
350,1,32.9,5,5,Минск Люксембург ул. 174
380,1,37.7,9,10,Минск Матусевича ул. 90
380,2,43.2,2,4,Минск Коржа ул. 26
350,1,45,16,25,Минск Чюрлениса ул. 16
363,1,33,7,7,Минск Мирошниченко ул. 16 2
350,1,37,13,13,Минск Дунина-Марцинкевича ул. 10
350,1,42.2,1,9,Минск Наполеона Орды ул. 39
360,3,57.7,5,9,Минск Рафиева ул. 80
380,1,32.68,7,9,Минск Байкальская ул. 62 1
360,1,50,8,9,Минск Лещинского ул. 53
380,2,51,4,9,Минск Нестерова ул. 62
380,3,71.7,1,5,Минск Уборевича ул. 28
370,1,38.2,5,26,Минск Скрыганова ул. 2 Б
360,1,33.03,6,9,Минск Победителей просп. 75 1
380,1,40.4,8,9,Минск Каменногорская ул. 20
381,1,33,6,9,Минск Есенина ул. 139
380,1,42,10,17,Минск Матусевича ул. 70
370,1,35,9,9,Минск Пушкина просп. 38
363,1,35,5,9,Минск Независимости просп. 137 1
370,2,38.2,1,5,Минск Калиновского ул. 73
381,1,35,6,9,Минск Рафиева ул. 11
370,1,33.3,8,9,Минск Байкальская ул. 1
380,1,34,5,9,Минск пр-т газеты звезда д 10  10 4
350,2,49,4,9,Минск Краснослободская ул. 3 2
380,1,34,5,5,Минск Цнянская ул. 1
363,2,55,8,8,Минск Кнорина ул. 17 Д
360,1,43.9,12,16,Минск Школьная ул. 16
360,1,31,6,9,Минск Захарова ул. 64
350,1,42,4,9,Минск Козыревская ул. 30
365,1,38,7,12,Минск Могилевская ул. 32
381,1,42,19,19,Минск Налибокская ул. 22
360,1,43,6,19,Минск Лидская ул. 14
375,1,34,6,9,Минск Космонавтов ул. 33
370,1,40,5,9,Минск Мирошниченко ул. 10 1
350,2,60,8,9,Минск Ландера ул. 80
350,1,40,8,12,Минск Одинцова ул. 111
350,1,45,24,4,Минск Независимости просп. 113
360,1,50,3,9,Минск Нестерова ул. 60
370,1,40.2,9,9,Минск Каменногорская ул. 102
380,1,35,5,9,Минск Кунцевщина ул. 36
381,1,33,1,9,Минск Руссиянова ул.
350,2,52,9,9,Минск Менделеева ул. 1
380,1,36.48,7,9,Минск Нестерова ул. 53 3
380,2,63.1,2,9,Минск Городецкая ул. 58
350,1,44,18,19,Минск Сухаревская ул. 14
360,2,49.3,2,5,Минск Голодеда ул. 1
381,1,29,5,22,Минск Игоря Лученка ул. 11
350,1,32,3,9,Минск Игнатовского ул. 12
380,1,40,8,9,Минск Берута ул. 17 3
350,1,33.3,2,9,Минск Острошицкая ул. 15
381,1,48,3,10,Минск Дзержинского просп. 74
380,1,33,3,9,Минск Пушкина просп. 30
350,1,43,2,9,Минск Люцинская ул. 31
380,2,45,4,5,Минск Куприянова ул. 5
363,1,48,12,16,Минск Лобанка ул. 14
365,1,36,1,9,Минск Якубовского ул. 36
360,2,71.4,1,9,Минск Багратиона 2-й пер. 19
363,1,34,4,9,Минск Якубовского ул. 44
380,2,54,2,9,Минск Якубовского ул. 24 1
380,1,29.5,4,4,Минск Рыбалко ул. 2
381,1,35,7,9,Минск Гамарника ул. 20
363,2,44,5,5,Минск Филатова ул. 6
381,1,42,3,19,Минск Геологическая ул. 61 А
381,1,32.7,2,5,Минск Пушкина просп. 5
360,2,45,4,9,Минск Восточная ул.
363,1,29.2,1,9,Минск Бельского ул. 53
363,1,35,2,9,Минск Асаналиева ул. 7
350,1,42,17,19,Минск Матусевича ул. 69
381,1,29,4,9,Минск Казинца ул. 70
370,1,57,3,9,Минск Игнатовского ул. 1
381,2,58,4,9,Минск Дунина-Марцинкевича ул. 4 2
381,1,37,2,9,Минск Независимости просп. 180
370,1,35.4,7,10,Минск Космонавтов ул. 33
360,1,35,3,5,Минск Калинина ул. 26
381,1,32,5,6,Минск Гвардейская ул. 1 А
381,1,46,15,16,Минск Гошкевича ул. 18
365,1,33.6,7,9,Минск Игнатовского ул. 12
380,1,36,5,9,Минск Карского ул. 21
381,2,37.6,2,5,Минск Седых ул. 16
363,1,38,6,9,Минск Маяковского ул. 103
350,1,36,1,9,Минск Новгородская ул. 7
